chr	START	END	Gen name	Score	strand	ATG	STOP
chrVIII	80654	81616	YHL011C		-	81616	80654
chrVIII	554396	555967	YHR216W		+	554396	555967
chrVII	836387	836665	YGR169C-A		-	836665	836387
chrII	304930	305976	YBR034C		-	305976	304930
chrIII	228318	228791	YCR063W		+	228318	228791
chrXIV	359596	360639	YNL141W		+	359596	360639
chrXIII	19060	20535	YML126C		-	20535	19060
chrXIII	789378	789839	YMR260C		-	789839	789378
chrXVI	350194	352275	YPL106C		-	352275	350194
chrXV	721946	722608	YOR202W		+	721946	722608
chrXIV	138550	140385	YNL268W		+	138550	140385
chrXVI	797557	797709	YPR133W-A		+	797557	797709
chrX	192531	193466	YJL117W		+	192531	193466
chrXI	612665	613885	YKR092C		-	613885	612665
chrV	85045	85545	YEL035C		-	85545	85045
chrXVI	412254	415362	YPL075W		+	412254	415362
chrVII	346406	346904	YGL087C		-	346904	346406
chrVII	545681	546157	YGR030C		-	546157	545681
chrXVI	246990	250262	YPL160W		+	246990	250262
chrIX	212499	214703	YIL078W		+	212499	214703
chrXII	260979	262766	YLR060W		+	260979	262766
chrXII	826977	827873	YLR348C		-	827873	826977
chrVI	87847	90345	YFL024C		-	90345	87847
chrII	395383	398277	YBR079C		-	398277	395383
chrIV	1229349	1229609	YDR378C		-	1229609	1229349
chrXV	842817	843644	YOR278W		+	842817	843644
chrII	615203	615856	YBR197C		-	615856	615203
chrII	565231	565428	YBR162W-A		+	565231	565428
chrIV	46271	48031	YDL227C		-	48031	46271
chrIII	24032	24325	YCL057C-A		-	24325	24032
chrXVI	648704	649921	YPR041W		+	648704	649921
chrIV	836421	838061	YDR188W		+	836421	838061
